name,latency,throughput(cpi)
vfcvt_h_s,3.00,2.00
vfcvt_s_d,3.00,2.00
vfcvth_d_s,3.00,2.00
vfcvth_s_h,3.00,2.00
vfcvtl_d_s,3.00,2.00
vfcvtl_s_h,3.00,2.00
vfdiv_d,7.99/21.48,0.25
vfdiv_s,10.99,0.18
vffint_d_l,4.00,4.00
vffint_d_lu,4.00,4.00
vffint_s_l,5.00,2.00
vffint_s_w,4.00,4.00
vffint_s_wu,4.00,4.00
vffinth_d_w,5.00,2.00
vffintl_d_w,5.00,2.00
vflogb_d,4.00,4.00
vflogb_s,4.00,4.00
vfmadd_d,5.00,2.00
vfmadd_s,5.00,2.00
vfmax_d,2.00,4.00
vfmax_s,2.00,3.99
vfmaxa_d,2.00,4.00
vfmaxa_s,2.00,4.00
vfmin_d,2.00,4.00
vfmin_s,2.00,4.00
vfmina_d,2.00,4.00
vfmina_s,2.00,4.00
vfmsub_d,5.00,2.00
vfmsub_s,5.00,2.00
vfmul_d,5.00,2.00
vfmul_s,5.00,2.00
vfnmadd_d,5.00,2.00
vfnmadd_s,5.00,2.00
vfnmsub_d,5.00,2.00
vfnmsub_s,5.00,2.00
vfrecip_d,7.99,0.25
vfrecip_s,18.98,0.18
vfrint_d,4.00,2.00
vfrint_s,4.00,2.00
vfrintrm_d,4.00,2.00
vfrintrm_s,4.00,2.00
vfrintrne_d,4.00,2.00
vfrintrne_s,4.00,2.00
vfrintrp_d,4.00,2.00
vfrintrp_s,4.00,2.00
vfrintrz_d,4.00,2.00
vfrintrz_s,4.00,2.00
vfrsqrt_d,14.99,0.04
vfrsqrt_s,16.98,0.05
vfrstp_b,2.00,0.50
vfrstp_h,2.00,0.50
vfrstpi_b,2.00,0.50
vfrstpi_h,2.00,0.50
vfsqrt_d,35.97,0.06
vfsqrt_s,10.99,0.08
vfsub_d,3.00,4.00
vfsub_s,3.00,4.00
vftint_l_d,4.00,4.00
vftint_lu_d,4.00,4.00
vftint_w_d,5.00,2.00
vftint_w_s,4.00,4.00
vftint_wu_s,4.00,4.00
vftinth_l_s,5.00,2.00
vftintl_l_s,5.00,2.00
vftintrm_l_d,4.00,4.00
vftintrm_w_d,5.00,2.00
vftintrm_w_s,4.00,4.00
vftintrmh_l_s,5.00,2.00
vftintrml_l_s,5.00,2.00
vftintrne_l_d,4.00,4.00
vftintrne_w_d,5.00,2.00
vftintrne_w_s,4.00,4.00
vftintrneh_l_s,5.00,2.00
vftintrnel_l_s,5.00,2.00
vftintrp_l_d,4.00,4.00
vftintrp_w_d,5.00,2.00
vftintrp_w_s,4.00,4.00
vftintrph_l_s,5.00,2.00
vftintrpl_l_s,5.00,2.00
vftintrz_l_d,4.00,4.00
vftintrz_lu_d,4.00,4.00
vftintrz_w_d,5.00,2.00
vftintrz_w_s,4.00,4.00
vftintrz_wu_s,4.00,4.00
vftintrzh_l_s,5.00,2.00
vftintrzl_l_s,5.00,2.00
vhaddw_d_w,2.00,2.00
vhaddw_du_wu,2.00,2.00
vhaddw_h_b,2.00,2.00
vhaddw_hu_bu,2.00,2.00
vhaddw_q_d,3.00,2.00
vhaddw_qu_du,3.00,2.00
