name,latency,throughput(ipc),throughput(cpi)
vfcmp_sle_s,2.00,1.00,1.00
vfcmp_slt_d,2.00,1.00,1.00
vfcmp_slt_s,2.00,1.00,1.00
vfcmp_sne_d,2.00,1.00,1.00
vfcmp_sne_s,2.00,1.00,1.00
vfcmp_sor_d,2.00,1.00,1.00
vfcmp_sor_s,2.00,1.00,1.00
vfcmp_sueq_d,2.00,1.00,1.00
vfcmp_sueq_s,2.00,1.00,1.00
vfcmp_sule_d,2.00,1.00,1.00
vfcmp_sule_s,2.00,1.00,1.00
vfcmp_sult_d,2.00,1.00,1.00
vfcmp_sult_s,2.00,1.00,1.00
vfcmp_sun_d,2.00,1.00,1.00
vfcmp_sun_s,2.00,1.00,1.00
vfcmp_sune_d,2.00,1.00,1.00
vfcmp_sune_s,2.00,1.00,1.00
vfcvt_h_s,3.00,0.50,2.00
vfcvt_s_d,3.00,0.50,2.00
vfcvth_d_s,3.00,0.50,2.00
vfcvth_s_h,3.00,0.50,2.00
vfcvtl_d_s,3.00,0.50,2.00
vfcvtl_s_h,3.00,0.50,2.00
vfdiv_d,8.99/23.98,0.04,23.98
vfdiv_s,11.99/27.98,0.04,27.98
vffint_d_l,4.00,1.00,1.00
vffint_d_lu,4.00,1.00,1.00
vffint_s_l,5.00,0.50,2.00
vffint_s_w,4.00,1.00,1.00
vffint_s_wu,4.00,1.00,1.00
vffinth_d_w,5.00,0.50,2.00
vffintl_d_w,5.00,0.50,2.00
vflogb_d,4.00,1.00,1.00
vflogb_s,4.00,1.00,1.00
vfmadd_d,4.00,1.00,1.00
vfmadd_s,4.00,1.00,1.00
vfmax_d,2.00,1.00,1.00
vfmax_s,2.00,1.00,1.00
vfmaxa_d,2.00,1.00,1.00
vfmaxa_s,2.00,1.00,1.00
vfmin_d,2.00,1.00,1.00
vfmin_s,2.00,1.00,1.00
vfmina_d,2.00,1.00,1.00
vfmina_s,2.00,1.00,1.00
vfmsub_d,4.00,1.00,1.00
vfmsub_s,4.00,1.00,1.00
vfmul_d,4.00,1.00,1.00
vfmul_s,4.00,1.00,1.00
vfnmadd_d,4.00,1.00,1.00
vfnmadd_s,4.00,1.00,1.00
vfnmsub_d,4.00,1.00,1.00
vfnmsub_s,4.00,1.00,1.00
vfrecip_d,23.98,0.04,23.98
vfrecip_s,27.98,0.04,27.98
vfrint_d,4.00,1.00,1.00
vfrint_s,4.00,1.00,1.00
vfrintrm_d,4.00,1.00,1.00
vfrintrm_s,4.00,1.00,1.00
vfrintrne_d,4.00,1.00,1.00
vfrintrne_s,4.00,1.00,1.00
vfrintrp_d,4.00,1.00,1.00
vfrintrp_s,4.00,1.00,1.00
vfrintrz_d,4.00,1.00,1.00
vfrintrz_s,4.00,1.00,1.00
